_id,name,type,given_name,family_name,primary_email_address,state,credential,addresses,phone_numbers,email_addresses,createdAt,updatedAt,__v,birth_date,gender,notes,primary_phone_number,img_url,clinics,age,visit_frequency
6baaea4a-d848-4b72-ac16-cc5f53612f23,Frank Camarena,677c23b98f6e833059afaee0,Frank,Camarena,frank@email.com,ACTIVE,c6344a7b-fe33-4b90-80e4-31cabad1d32c,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'number': '123456789', 'type': 'mobile'}]",2025-01-06 18:59:44.432,2025-01-07 18:54:00.362,0,1980-01-01,MALE,Aditional notes,123456789,https://res.cloudinary.com/deflfnoba/image/upload/v1736276038/DentalRainMaker/zqutozjhyig00ef2sbhb.jpg,,45.0,1
f3cd79e5-326f-4c62-840d-eb3dc6e72328,Dean Castro,677c23b98f6e833059afaee3,Dean,Castro,kthornton@gmail.com,ACTIVE,3d34348e-d466-4d7e-b8f3-d994c7c2190c,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'kthornton@gmail.com', 'type': 'work'}]",2025-01-06 19:24:36.163,2025-01-10 12:39:29.237,0,1980-01-01,OTHER,Aditional notes,123456789,,['99ff61b3-8969-490c-9931-a4549378b4ab'],45.0,1
e076ab75-ba09-41b3-9f2c-e6a43fe7bb63,Richard Lin,677c23b98f6e833059afaee3,Richard,Lin,booneguy@yahoo.com,ACTIVE,fdaa2468-0e47-4bbc-a01a-4d5962674044,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'booneguy@yahoo.com', 'type': 'work'}]",2025-01-06 19:24:36.432,2025-01-10 12:39:29.394,0,1980-01-01,FEMALE,Aditional notes,123456789,,['2e8ecac2-db84-417b-8d07-a5749f15ce43'],45.0,1
0c4aa42a-28f1-494f-8de0-f54683cdbbf2,Alicia Velazquez,677c23b98f6e833059afaee3,Alicia,Velazquez,gregory11@reid.org,ACTIVE,1219059c-4132-478e-ad3e-9d2c4415ce2a,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'gregory11@reid.org', 'type': 'work'}]",2025-01-06 19:24:36.701,2025-01-10 12:39:29.558,0,1980-01-01,FEMALE,Aditional notes,123456789,,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],45.0,1
de03453b-08a0-4a87-84eb-e473f88d62cd,Lisa Moyer,677c23b98f6e833059afaee3,Lisa,Moyer,john92@santiago-shepherd.com,ACTIVE,3ab6ebc6-fc55-402b-8e93-4f305d77e999,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'john92@santiago-shepherd.com', 'type': 'work'}]",2025-01-06 19:24:36.970,2025-01-10 12:39:29.728,0,1980-01-01,MALE,Aditional notes,123456789,,['cfcac18c-f46b-410a-9fad-dd9778955387'],45.0,1
8c5bfaf2-4f02-4b8a-9268-a600d81c73a2,Michael Montes,677c23b98f6e833059afaee3,Michael,Montes,joshuapugh@hotmail.com,ACTIVE,b119014d-33ea-4dd9-b31e-f40703590782,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'joshuapugh@hotmail.com', 'type': 'work'}]",2025-01-06 19:24:37.239,2025-01-10 12:39:29.893,0,1980-01-01,OTHER,Aditional notes,123456789,,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],45.0,1
6238c859-937a-4481-9c4a-35ebc223d862,Christine Hall,677c23b98f6e833059afaee3,Christine,Hall,nicole87@yahoo.com,ACTIVE,2c1b8c65-5101-43e3-88e4-ce339904ef41,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'nicole87@yahoo.com', 'type': 'work'}]",2025-01-06 19:24:37.515,2025-01-10 12:39:30.060,0,1980-01-01,FEMALE,Aditional notes,123456789,,['b0516ea5-e995-4f98-ab14-a8a7cb579c22'],45.0,1
65ae9e20-9fd3-47c2-bd7c-8db6f10e75fa,David Grant,677c23b98f6e833059afaee3,David,Grant,charlesgonzales@hotmail.com,ACTIVE,73a14314-98ef-44be-a38d-73d008e00438,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'charlesgonzales@hotmail.com', 'type': 'work'}]",2025-01-06 19:24:37.787,2025-01-10 12:39:30.225,0,1980-01-01,MALE,Aditional notes,123456789,,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],45.0,1
44d93fe9-da33-4861-a462-071bd4c8f9a9,Crystal Eaton,677c23b98f6e833059afaee3,Crystal,Eaton,ubrown@hotmail.com,ACTIVE,662800e7-17d9-4666-a679-6b04b8ca483e,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'ubrown@hotmail.com', 'type': 'work'}]",2025-01-06 19:24:38.061,2025-01-10 12:39:30.387,0,1980-01-01,OTHER,Aditional notes,123456789,,['2e8ecac2-db84-417b-8d07-a5749f15ce43'],45.0,1
a3c9cf8f-7bc7-42a8-b11a-e20f0e12bf9c,Jacob Sullivan,677c23b98f6e833059afaee3,Jacob,Sullivan,jessewallace@taylor.com,ACTIVE,af7ae230-6470-478b-800e-55de6567e135,"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'jessewallace@taylor.com', 'type': 'work'}]",2025-01-06 19:24:38.339,2025-01-10 12:39:30.542,0,1980-01-01,FEMALE,Aditional notes,123456789,,['b0516ea5-e995-4f98-ab14-a8a7cb579c22'],45.0,1
