_id,name,type,given_name,family_name,primary_email_address,state,credential,clinics,addresses,phone_numbers,email_addresses,createdAt,updatedAt,__v,birth_date,gender,notes,primary_phone_number
6ed51c81-0810-4518-9438-3ac60f32f5c2,Dean Castro,6785a2ebcc83a99047c4e3f7,Dean,Castro,kthornton@gmail.com,ACTIVE,7507e641-401b-4b35-9003-1eb029304834,['99ff61b3-8969-490c-9931-a4549378b4ab'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'kthornton@gmail.com', 'type': 'work'}]",2025-01-14 02:41:25.015,2025-01-16 03:36:48.472,0,1/1/1980,OTHER,Aditional notes,123456789
64d0785f-045a-4f56-b996-0e5d1358cf1e,Richard Lin,6785a2ebcc83a99047c4e3f7,Richard,Lin,booneguy@yahoo.com,ACTIVE,3fc93c2e-5740-4cda-8bee-0743905989b7,['2e8ecac2-db84-417b-8d07-a5749f15ce43'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'booneguy@yahoo.com', 'type': 'work'}]",2025-01-14 02:41:30.090,2025-01-16 03:36:48.782,0,1/1/1980,FEMALE,Aditional notes,123456789
e37b9230-9557-40e4-8433-dc7f792ff7e4,Alicia Velazquez,6785a2ebcc83a99047c4e3f7,Alicia,Velazquez,gregory11@reid.org,ACTIVE,d86a9543-c65f-4325-a8e3-dcae14259c17,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'gregory11@reid.org', 'type': 'work'}]",2025-01-14 02:41:34.251,2025-01-16 03:36:49.080,0,1/1/1980,FEMALE,Aditional notes,123456789
779e7162-8b6e-4f49-8f43-428c66d8e001,Lisa Moyer,6785a2ebcc83a99047c4e3f7,Lisa,Moyer,john92@santiago-shepherd.com,ACTIVE,aed3cac2-8ab1-41bb-a157-50b2f7c95c0f,['cfcac18c-f46b-410a-9fad-dd9778955387'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'john92@santiago-shepherd.com', 'type': 'work'}]",2025-01-14 02:41:38.341,2025-01-16 03:36:49.371,0,1/1/1980,MALE,Aditional notes,123456789
c8a1a95e-b0dc-4496-981c-0e1f4a1c6e2d,Michael Montes,6785a2ebcc83a99047c4e3f7,Michael,Montes,joshuapugh@hotmail.com,ACTIVE,b54c399d-2996-4828-ae73-766a69ae8337,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'joshuapugh@hotmail.com', 'type': 'work'}]",2025-01-14 02:41:41.693,2025-01-16 03:36:49.661,0,1/1/1980,OTHER,Aditional notes,123456789
bd61d67e-04c7-4679-ab3c-c9e8195432ea,Christine Hall,6785a2ebcc83a99047c4e3f7,Christine,Hall,nicole87@yahoo.com,ACTIVE,72fda993-7593-4286-bf30-c37f08f5d0a0,['b0516ea5-e995-4f98-ab14-a8a7cb579c22'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'nicole87@yahoo.com', 'type': 'work'}]",2025-01-14 02:41:46.278,2025-01-16 03:36:49.952,0,1/1/1980,FEMALE,Aditional notes,123456789
1427e293-d51b-483f-853f-e5bc465dfa36,David Grant,6785a2ebcc83a99047c4e3f7,David,Grant,charlesgonzales@hotmail.com,ACTIVE,973b44e6-4cc5-453b-b275-137bad23f01d,['ea20e6f0-363f-42f6-8ac6-213e8ae0c1e4'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'charlesgonzales@hotmail.com', 'type': 'work'}]",2025-01-14 02:41:50.384,2025-01-16 03:36:50.244,0,1/1/1980,MALE,Aditional notes,123456789
77c63d6c-0662-4f6a-90ab-4513304068e3,Crystal Eaton,6785a2ebcc83a99047c4e3f7,Crystal,Eaton,ubrown@hotmail.com,ACTIVE,e817d648-ce38-4ed8-8c91-7edf249a2c8d,['2e8ecac2-db84-417b-8d07-a5749f15ce43'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'ubrown@hotmail.com', 'type': 'work'}]",2025-01-14 02:41:54.280,2025-01-16 03:36:50.543,0,1/1/1980,OTHER,Aditional notes,123456789
fd96f1df-4dce-4387-8848-6d6b924ee8d9,Jacob Sullivan,6785a2ebcc83a99047c4e3f7,Jacob,Sullivan,jessewallace@taylor.com,ACTIVE,21154c2a-19e8-4ec9-8532-f5c67fc53bf6,['b0516ea5-e995-4f98-ab14-a8a7cb579c22'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'jessewallace@taylor.com', 'type': 'work'}]",2025-01-14 02:41:58.514,2025-01-16 03:36:50.844,0,1/1/1980,FEMALE,Aditional notes,123456789
d52e9ff0-c4b9-4908-b4cf-853e01bc6af3,Gina Moore,6785a2ebcc83a99047c4e3f7,Gina,Moore,zwilson@coleman-frazier.com,ACTIVE,b215b913-c41a-4c54-a73a-86f9fd29bddd,['2e8ecac2-db84-417b-8d07-a5749f15ce43'],"[{'street_address': '123 Main St', 'city': 'Springfield', 'state': 'Illinois', 'postal_code': '62701', 'country_code': 'US', 'type': 'home'}]","[{'number': '123456789', 'type': 'mobile'}]","[{'address': 'zwilson@coleman-frazier.com', 'type': 'work'}]",2025-01-14 02:42:01.546,2025-01-16 03:36:51.157,0,1/1/1980,OTHER,Aditional notes,123456789
